song,source,model,OPS,TPS,IPS,APS
23,vocals,htdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
23,vocals,sahtdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
24,bass,htdemucs,22.8716206138047,30.9093317038272,51.794153644151,22.7418910444627
24,bass,sahtdemucs,24.3348982968616,29.6137312383381,54.0900230664306,23.8702891556242
24,drums,htdemucs,7.93942963681359,99.3315733807,1.91200804924711,66.7319708166215
24,drums,sahtdemucs,7.98558618937556,99.4707169991681,1.95029085724292,60.9571772700055
24,other,htdemucs,8.27086514614342,92.7679212219006,2.29303881936451,86.7383675214261
24,other,sahtdemucs,8.25296607217666,92.7679212219006,2.2624259144319,86.7383675214261
24,vocals,htdemucs,8.26545685408103,98.0455900987855,2.2835683512818,80.3952697288404
24,vocals,sahtdemucs,8.20496328686904,98.6967513300166,2.18919495084858,76.8267630757252
25,bass,htdemucs,24.15280244718,30.1700752515371,57.4084278512536,29.1188948749304
25,bass,sahtdemucs,27.0186760061531,32.446308077158,57.9915263151679,30.9669212305217
25,drums,htdemucs,9.64221881705847,82.9780212676994,16.4229200110595,34.6902798993599
25,drums,sahtdemucs,8.95131845902614,86.9195770447495,12.943407715749,21.7350726049397
25,other,htdemucs,8.37964052579365,92.7679212219006,2.5482100217106,86.7383675214261
25,other,sahtdemucs,8.36769708781161,92.7679212219006,2.51112570196748,86.7383675214261
25,vocals,htdemucs,8.31998458103938,92.7679212219006,2.38981790583522,86.7383675214261
25,vocals,sahtdemucs,8.33886348164954,92.7679212219006,2.43366388294805,86.7383675214261
26,bass,htdemucs,26.5402048838171,33.7467363224624,57.0508960843256,31.3871402385442
26,bass,sahtdemucs,27.3173555937647,33.5965236083178,56.2861653095952,29.7653752284539
26,drums,htdemucs,7.87044443338246,99.0180135562481,1.93753932975563,72.2522418889377
26,drums,sahtdemucs,7.87908488755005,99.0245583520547,1.86598676949651,73.3025604951468
26,other,htdemucs,8.39943043558811,95.7661460217927,2.61895579508095,84.7269525748789
26,other,sahtdemucs,8.38562099695398,98.0579546623754,2.56821269331724,80.3484416285621
26,vocals,htdemucs,7.90071186725904,94.1105567573172,1.882002346861,86.0265962666099
26,vocals,sahtdemucs,7.8989932509145,96.3941083211766,1.88071093455173,84.0033910931176
27,bass,htdemucs,26.1483148766802,26.1664956025121,53.6655289190026,18.2259339504593
27,bass,sahtdemucs,24.6718091624619,26.9021480745057,53.9379418571295,20.3944539833294
27,drums,htdemucs,8.45541497254609,88.0875988037012,11.3416902027945,12.9005569408918
27,drums,sahtdemucs,7.90177676686496,87.2705376063137,11.5691995977873,14.7347757676134
27,other,htdemucs,8.24935947183132,92.7679212219006,2.2564999830186,86.7383675214261
27,other,sahtdemucs,8.28082913591257,92.7679212219006,2.31102823006212,86.7383675214261
27,vocals,htdemucs,18.0909593158118,17.5704535976001,49.1366148570018,8.3895355054488
27,vocals,sahtdemucs,16.5140772855916,25.3634148424278,45.7912993403357,12.1938985023723
28,bass,htdemucs,3.69375171113737,68.3084515504688,30.2717018335893,55.5395406815422
28,bass,sahtdemucs,3.5980961883657,67.629272660233,34.0752599810523,53.2720941560212
28,drums,htdemucs,6.95638046880742,92.7679212219006,1.43495595033296,86.7383675214261
28,drums,sahtdemucs,6.95162266348868,92.7679212219006,1.43343924592991,86.7383675214261
28,other,htdemucs,6.7671653789374,92.7679212219006,1.37769991574835,86.7383675214261
28,other,sahtdemucs,6.24717158001127,89.3153904115132,1.90702196050142,84.7318392381203
28,vocals,htdemucs,2.95274957635612,67.1866593897762,29.4310538943116,54.6623858669843
28,vocals,sahtdemucs,3.24482688418966,68.4384967998489,27.1572077947668,54.2784415599364
29,bass,htdemucs,24.6064891245452,61.733941936077,42.3202901012521,44.9073620209539
29,bass,sahtdemucs,26.152884939316,67.1899369843784,40.8439359467396,50.1206003103909
29,drums,htdemucs,8.36312196009496,96.1249860558597,2.49779898506351,84.3364392369938
29,drums,sahtdemucs,8.36915143710221,95.3795984322144,2.51545774286053,85.0932527168371
29,other,htdemucs,9.18035701460998,90.1798879073913,4.77636632292511,85.211608059229
29,other,sahtdemucs,8.6873434984865,91.887624227009,4.33928109044488,86.199673190727
29,vocals,htdemucs,11.365310488679,74.9855023811238,21.0080231264254,24.76377229747
29,vocals,sahtdemucs,11.406423592198,78.8500446954596,18.1681614074289,18.0339880763541
30,bass,htdemucs,34.2369484343959,43.2194273373237,55.5738106065861,33.2743927301687
30,bass,sahtdemucs,37.2133367220998,46.6967799244586,56.6391391964694,35.0986646830611
30,drums,htdemucs,15.7121311082118,90.4672828834564,15.4395419882184,61.8136684257032
30,drums,sahtdemucs,13.4762720924819,95.854318083909,11.259638042849,57.7749163880453
30,other,htdemucs,26.0957031209268,47.9582368932289,45.048999645212,27.1383799834286
